cs,var,para,model,var_group
cs 1,tv,0.046482272,gqv,tv
cs 1,print,0.50106206,gqv,print
cs 2,tv,0.197674908,gqv,tv
cs 2,print,0.447566499,gqv,print
cs 1,ps_imps,0.3546546,search,search
cs 1,tv,0.146456,search,tv
cs 1,gqv_ind,0.880790088,search,gqv
cs 2,ps_imps,0.45789,search,search
cs 2,tv,0.2896,search,tv
cs 2,gqv_ind,0.656246873,search,gqv
cs 1,disp_imps,0.254646887,display,display
cs 1,tv,0.438488677,display,tv
cs 2,disp_imps,0.45664646,display,display
cs 2,tv,0.158487898,display,tv
cs 1,tv,0.21,dts,tv
cs 2,tv,0.1366,dts,tv
cs 1,tv,0.546456422,sales,tv
cs 1,web,0.34546479,sales,web
cs 1,print,0.938339266,sales,print
cs 2,tv,0.487698465,sales,tv
cs 2,web,0.76632589,sales,web
cs 2,print,0.898203543,sales,print
